OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
42485,2019,CA,CDF,MVU,CAMINO,16167,2019/11/02 00:00:00+00,2019/11/02 00:00:00+00,14,,0.7,0.72189164,1,1,,344.6026671,-4188.986736
42486,2019,CA,CDF,MVU,CRESTWOOD,16171,2019/11/02 00:00:00+00,2019/11/02 00:00:00+00,10,,32,31.554823,1,1,,2845.928395,-180842.6132
42487,2019,CA,CDF,MVU,DEHESA 11,14018,2019/09/24 00:00:00+00,2019/10/02 00:00:00+00,14,,200,225.64603,1,1,,5995.591629,-1295359.34
42488,2019,CA,CDF,MVU,AIRPORT,12538,2019/08/28 00:00:00+00,2019/08/28 00:00:00+00,14,,1.7,1.677516,1,1,,397.073068,-9740.790577
42489,2019,CA,CDF,MVU,PAUMA 4,8223,2019/06/10 00:00:00+00,2019/06/24 00:00:00+00,9,,20.9,22.021397,1,1,,1783.640026,-127906.6205
42490,2019,CA,CDF,MVU,DEHESA 8,10859,2019/07/28 00:00:00+00,2019/08/02 00:00:00+00,14,,150,141.95477,1,1,,4998.246497,-815045.8253
42491,2019,CA,CDF,MVU,OTAY 11,9151,2019/06/29 00:00:00+00,2019/06/30 00:00:00+00,14,,27.5,27.519762,1,1,,1697.846028,-157390.1929
42492,2019,CA,CDF,MVU,VISTA 5,10198,2019/07/17 00:00:00+00,2019/07/18 00:00:00+00,14,,17,16.695576,1,1,,1569.032842,-95880.92567
42493,2019,CA,CDF,MVU,GREEN 3,14697,2019/11/06 00:00:00+00,2019/11/07 00:00:00+00,14,,7,6.311408,1,1,,972.6851795,-36342.87064
42494,2019,CA,CDF,MVU,MORRETTI,12202,2019/08/22 00:00:00+00,2019/08/22 00:00:00+00,14,,1.1,1.2310616,1,1,,360.6182943,-7137.68825
42495,2019,CA,CDF,MVU,GATE,12198,2019/08/22 00:00:00+00,2019/08/23 00:00:00+00,14,,8,7.2261381,1,1,,1140.926575,-41972.59107
42496,2019,CA,CDF,MVU,MILLER 2,15748,2019/10/25 00:00:00+00,2019/10/27 00:00:00+00,14,,37,29.260406,1,1,,2880.478284,-169825.453
42497,2019,CA,CDF,MVU,BORDER 6,9892,2019/07/12 00:00:00+00,2019/07/15 00:00:00+00,14,116 acres in US 400+- in Mexico ,75,467.1911,1,1,,9529.82405,-2669324.157
42498,2019,CA,CDF,MVU,WILLOWS 3,14088,2019/09/25 00:00:00+00,2019/09/25 00:00:00+00,14,,52,57.422035,7,1,,4096.485554,-330365.3812
42499,2019,CA,CDF,MVU,GASOLINE,7586,2019/05/29 00:00:00+00,2019/05/30 00:00:00+00,14,,29,29.537264,1,1,,2252.183835,-169093.5126
42500,2019,CA,CDF,MVU,BORDER,6784,2019/05/13 00:00:00+00,2019/05/19 00:00:00+00,5,17.5 on the US side 5.8 on the Mexico side,16,23.3554,1,1,,2590.485492,-133420.3808
42501,2019,CA,CDF,MVU,SCOUT,14643,2019/10/05 00:00:00+00,2019/10/05 00:00:00+00,9,,25.6,25.536137,1,1,,2667.35596,-148042.7287
42502,2019,CA,CDF,MVU,COPPER,16047,2019/10/30 00:00:00+00,2019/11/01 00:00:00+00,9,"WFDSS -151 acres in US, 220 in Mexico",50,371.35593,7,1,,7206.468481,-2121411.334
42503,2019,CA,CDF,MVU,BORDER 9,11839,2019/08/15 00:00:00+00,2019/08/16 00:00:00+00,7,67 acres  in US,85,67.372292,7,1,,3324.028166,-384982.9288
42504,2019,CA,CDF,MVU,BORDER 10,12378,2019/08/25 00:00:00+00,2019/08/28 00:00:00+00,14,13.2 acres in Mexico 11.8 U.S. ,25,11.862469,7,1,,1262.914645,-67767.60363
42505,2019,CA,CDF,MVU,SAWDAY,15731,2019/10/25 00:00:00+00,2019/10/28 00:00:00+00,15, ,97,101.16784,1,1,,4226.767654,-584374.4921
42506,2019,CA,CDF,AEU,BROWNS,23326,2019/08/02 00:00:00+00,2019/08/02 00:00:00+00,9,,,84.323441,1,1,,3606.927863,-556061.3927
42507,2019,CA,CDF,AEU,CARSON,23015,2019/07/30 00:00:00+00,2019/07/30 00:00:00+00,2,,,13.1878,1,1,,1466.322158,-87888.91277
42508,2019,CA,CDF,AEU,CHAPARRAL,29708,2019/09/29 00:00:00+00,2019/09/29 00:00:00+00,9,,,21.851107,1,1,,2389.700422,-144765.1094
42509,2019,CA,CDF,AEU,COULTER,28812,2019/09/21 00:00:00+00,2019/09/21 00:00:00+00,9,,,17.788284,1,1,,1692.280105,-117878.392
42510,2019,CA,CDF,AEU,COUNTRY,26999,2019/09/03 00:00:00+00,2019/09/03 00:00:00+00,14,,,85.596687,1,1,,5463.740428,-572850.1826
42511,2019,CA,CDF,AEU,ELECTRA,29257,2019/09/25 00:00:00+00,2019/09/25 00:00:00+00,7,,,10.239115,1,1,,1736.751973,-67449.02207
42512,2019,CA,CDF,AEU,LIBERTY,26884,2019/09/02 00:00:00+00,2019/09/02 00:00:00+00,2,,,10.667637,1,1,,1588.896638,-70145.51052
42513,2019,CA,CDF,AEU,PATTERSON,24851,2019/08/15 00:00:00+00,2019/08/15 00:00:00+00,14,,,34.914864,1,1,,2336.71483,-232061.6952
42514,2019,CA,CDF,AEU,VINTAGE,21136,2019/07/14 00:00:00+00,2019/07/14 00:00:00+00,2,,,2.438375,1,1,,557.8830897,-16179.10555
42515,2019,CA,CDF,FKU,DEER,8718,2019/06/23 00:00:00+00,2019/06/26 00:00:00+00,7,,65,64.951561,1,1,,3371.729607,-411319.1472
42516,2019,CA,CDF,FKU,DEVIL,5520,2019/04/24 00:00:00+00,2019/04/24 00:00:00+00,11,,50.25,50.139587,1,1,,3884.371751,-309407.8612
42517,2019,CA,CDF,FKU,HILLS,7319,2019/05/29 00:00:00+00,2019/06/01 00:00:00+00,2,,120.86,120.64044,1,1,,4204.886186,-760502.4347
42518,2019,CA,CDF,FKU,HORSE,12035,2019/10/18 00:00:00+00,2019/10/19 00:00:00+00,2,,13.7,13.748615,1,1,,1419.47982,-85633.46258
42519,2019,CA,CDF,FKU,MUD,15366,2019/10/18 00:00:00+00,2019/10/19 00:00:00+00,11,,137,137.21513,1,1,,4629.541983,-854951.2614
42520,2019,CA,CDF,FKU,REEF,13428,2019/09/11 00:00:00+00,2019/09/11 00:00:00+00,11,,104,103.76073,1,1,,3663.012411,-640445.1402
42521,2019,CA,CDF,FKU,SKY,11299,2019/09/05 00:00:00+00,2019/09/05 00:00:00+00,11,,139,138.99321,1,1,,3933.210812,-862678.6334
42522,2019,CA,CDF,FKU,WARTHAN,12841,2019/09/01 00:00:00+00,2019/10/02 00:00:00+00,3,,13,12.201762,1,1,,1336.616093,-75771.48025
42523,2019,CA,CDF,FKU,BRYSON,15219,2019/10/15 00:00:00+00,2019/10/15 00:00:00+00,7,,14,13.842192,1,1,,1416.195393,-87287.91526
42524,2019,CA,CDF,FKU,COVE,8541,2019/06/20 00:00:00+00,2019/06/23 00:00:00+00,7,,20,29.09276,1,1,,2091.360944,-183528.9961
42525,2019,CA,CDF,FKU,FRAME,14450,2019/09/30 00:00:00+00,2019/10/02 00:00:00+00,7,,15,15.022148,1,1,,1819.646344,-93461.90005
42526,2019,CA,CDF,FKU,OIL,14337,2019/09/28 00:00:00+00,2019/09/28 00:00:00+00,11,,38,37.669304,1,1,,3051.300778,-234734.8871
42527,2019,CA,CDF,FKU,PALM,14378,2019/09/29 00:00:00+00,2019/09/29 00:00:00+00,11,,90,89.734077,1,1,,3027.611315,-559334.5567
42528,2019,CA,CDF,FKU,PALMER,9326,2019/07/04 00:00:00+00,2019/07/04 00:00:00+00,11,,14.64,14.614889,1,1,,1738.869889,-91061.90068
42529,2019,CA,CDF,FKU,PANOCHE,5298,2019/04/20 00:00:00+00,2019/04/20 00:00:00+00,9,,44.81,44.811226,1,1,,2913.85727,-282817.6651
42530,2019,CA,CDF,FKU,PYRAMID,13656,2019/09/15 00:00:00+00,2019/09/15 00:00:00+00,14,,15.9,15.943653,1,1,,1683.181418,-98283.62893
42531,2019,CA,CDF,FKU,SPEARHEAD,7317,2019/05/29 00:00:00+00,2019/05/30 00:00:00+00,11,,13.47,13.478957,1,1,,1625.998544,-85801.23409
42532,2019,CA,CDF,FKU,YORK,5720,,,14,Started in Kern county,,160.91243,1,1,,6794.079424,-991829.9183
42533,2019,CA,CDF,FKU,PHELPS,13062,2019/09/05 00:00:00+00,2019/09/05 00:00:00+00,11,,61.4,61.305656,1,1,,3068.880052,-381406.9354
42534,2019,CA,CDF,BEU,DUDLEY,3067,2019/05/30 00:00:00+00,2019/05/30 00:00:00+00,2,,13.5,13.473977,1,1,,1126.270892,-83494.60051
42535,2019,CA,CDF,BEU,VINEYARD ,3134,2019/06/02 00:00:00+00,2019/06/02 00:00:00+00,5,,32,32.386257,1,1,,2222.039834,-199654.7907
42536,2019,CA,CDF,BEU,LIGGETT,3264,2019/06/08 00:00:00+00,2019/06/08 00:00:00+00,14,,11,10.376249,1,1,,1597.54748,-64113.58133
42537,2019,CA,CDF,BEU,HUNTER,3291,2019/06/09 00:00:00+00,2019/06/09 00:00:00+00,2,,74.7,74.504112,2,1,,2690.15333,-460529.1952
42538,2019,CA,CDF,BEU,ARDO,3383,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,11,,43,42.759003,1,1,,2452.507979,-264541.8592
42539,2019,CA,CDF,BEU,HOLLISTER,3484,2019/06/15 00:00:00+00,2019/06/15 00:00:00+00,10,,24.53,24.501352,1,1,,1688.257672,-154758.2406
42540,2019,CA,CDF,BEU,HERNANDEZ,3602,2019/06/19 00:00:00+00,2019/06/19 00:00:00+00,14,,33.1,28.659925,1,1,,3763.159464,-179065.3453
42541,2019,CA,CDF,BEU,LONOAK,3696,2019/06/25 00:00:00+00,2019/06/25 00:00:00+00,11,,2546,2520.8787,2,1,,23366.14829,-15702125.39
42542,2019,CA,CDF,BEU,PARKFIELD,3780,2019/06/30 00:00:00+00,2019/06/30 00:00:00+00,11,,14.2,13.854422,1,1,,1240.624801,-85477.13182
42543,2019,CA,CDF,BEU,SARGENT,3972,2019/07/09 00:00:00+00,2019/07/09 00:00:00+00,11,,280,171.94772,1,1,,5491.143334,-1064147.276
